Summary for Run #107: S1 = 635; S2 = 700; S3 = 219
Summary for Run #108: S1 = 622; S2 = 678; S3 = 206
Summary for Run #109: S1 = 640; S2 = 676; S3 = 241
Summary for Run #110: S1 = 626; S2 = 663; S3 = 213
Summary for Run #111: S1 = 646; S2 = 667; S3 = 241
Summary for Run #112: S1 = 630; S2 = 693; S3 = 228
Summary for Run #113: S1 = 588; S2 = 670; S3 = 209
Summary for Run #114: S1 = 626; S2 = 666; S3 = 223
Summary for Run #115: S1 = 602; S2 = 694; S3 = 236
Summary for Run #116: S1 = 584; S2 = 649; S3 = 237
Summary for Run #117: S1 = 614; S2 = 677; S3 = 224
Summary for Run #118: S1 = 591; S2 = 675; S3 = 243
Summary for Run #119: S1 = 603; S2 = 691; S3 = 214
Summary for Run #120: S1 = 620; S2 = 679; S3 = 230
Summary for Run #121: S1 = 612; S2 = 640; S3 = 235
Summary for Run #122: S1 = 612; S2 = 674; S3 = 224
Summary for Run #123: S1 = 611; S2 = 673; S3 = 219
Summary for Run #124: S1 = 588; S2 = 680; S3 = 230
Summary for Run #125: S1 = 594; S2 = 691; S3 = 218
Summary for Run #126: S1 = 589; S2 = 685; S3 = 223
Summary for Run #127: S1 = 670; S2 = 652; S3 = 224
Summary for Run #128: S1 = 622; S2 = 669; S3 = 201
Summary for Run #129: S1 = 618; S2 = 677; S3 = 216
Summary for Run #130: S1 = 630; S2 = 675; S3 = 195
Summary for Run #131: S1 = 631; S2 = 639; S3 = 224
Summary for Run #132: S1 = 657; S2 = 671; S3 = 205
Summary for Run #133: S1 = 608; S2 = 684; S3 = 207
Summary for Run #134: S1 = 646; S2 = 692; S3 = 206
Summary for Run #135: S1 = 600; S2 = 671; S3 = 222
Summary for Run #136: S1 = 608; S2 = 663; S3 = 217
Summary for Run #137: S1 = 599; S2 = 673; S3 = 230
Summary for Run #138: S1 = 624; S2 = 667; S3 = 211
Summary for Run #139: S1 = 627; S2 = 678; S3 = 243
Summary for Run #140: S1 = 656; S2 = 625; S3 = 234
Summary for Run #141: S1 = 634; S2 = 650; S3 = 237
Summary for Run #142: S1 = 642; S2 = 643; S3 = 217
Summary for Run #143: S1 = 575; S2 = 664; S3 = 234
Summary for Run #144: S1 = 634; S2 = 682; S3 = 219
Summary for Run #145: S1 = 584; S2 = 654; S3 = 215
Summary for Run #146: S1 = 587; S2 = 676; S3 = 231
Summary for Run #147: S1 = 630; S2 = 670; S3 = 229
Summary for Run #148: S1 = 637; S2 = 680; S3 = 218
Summary for Run #149: S1 = 595; S2 = 667; S3 = 224
Summary for Run #150: S1 = 615; S2 = 661; S3 = 238
Summary for Run #151: S1 = 628; S2 = 637; S3 = 253
Summary for Run #152: S1 = 605; S2 = 669; S3 = 230
Summary for Run #153: S1 = 618; S2 = 672; S3 = 194
Summary for Run #154: S1 = 643; S2 = 658; S3 = 236
Summary for Run #155: S1 = 612; S2 = 679; S3 = 225
Summary for Run #156: S1 = 616; S2 = 647; S3 = 225
Summary for Run #157: S1 = 617; S2 = 668; S3 = 231
Summary for Run #158: S1 = 587; S2 = 690; S3 = 213
Summary for Run #159: S1 = 608; S2 = 635; S3 = 259
Summary for Run #160: S1 = 624; S2 = 694; S3 = 232
Summary for Run #161: S1 = 615; S2 = 662; S3 = 222
Summary for Run #162: S1 = 582; S2 = 670; S3 = 241
Summary for Run #163: S1 = 629; S2 = 656; S3 = 230
Summary for Run #164: S1 = 627; S2 = 681; S3 = 202
Summary for Run #165: S1 = 632; S2 = 672; S3 = 220
Summary for Run #166: S1 = 578; S2 = 690; S3 = 209
Summary for Run #167: S1 = 610; S2 = 690; S3 = 211
Summary for Run #168: S1 = 632; S2 = 659; S3 = 206
Summary for Run #169: S1 = 613; S2 = 681; S3 = 224
Summary for Run #170: S1 = 565; S2 = 679; S3 = 215
Summary for Run #171: S1 = 609; S2 = 686; S3 = 215
Summary for Run #172: S1 = 593; S2 = 675; S3 = 227
Summary for Run #173: S1 = 659; S2 = 662; S3 = 212
Summary for Run #174: S1 = 653; S2 = 670; S3 = 206
Summary for Run #175: S1 = 647; S2 = 653; S3 = 217
Summary for Run #176: S1 = 611; S2 = 681; S3 = 226
Summary for Run #177: S1 = 605; S2 = 680; S3 = 195
Summary for Run #178: S1 = 623; S2 = 676; S3 = 195
Summary for Run #179: S1 = 562; S2 = 700; S3 = 210
Summary for Run #180: S1 = 648; S2 = 680; S3 = 218
Summary for Run #181: S1 = 646; S2 = 674; S3 = 216
Summary for Run #182: S1 = 660; S2 = 646; S3 = 212
Summary for Run #183: S1 = 595; S2 = 645; S3 = 232
Summary for Run #184: S1 = 628; S2 = 670; S3 = 236
Summary for Run #185: S1 = 599; S2 = 642; S3 = 233
Summary for Run #186: S1 = 630; S2 = 653; S3 = 224
Summary for Run #187: S1 = 608; S2 = 672; S3 = 216
Summary for Run #188: S1 = 661; S2 = 676; S3 = 206
Summary for Run #189: S1 = 635; S2 = 645; S3 = 235
Summary for Run #190: S1 = 622; S2 = 676; S3 = 200
Summary for Run #191: S1 = 614; S2 = 673; S3 = 227
Summary for Run #192: S1 = 619; S2 = 654; S3 = 223
Summary for Run #193: S1 = 591; S2 = 675; S3 = 217
Summary for Run #194: S1 = 623; S2 = 646; S3 = 218
Summary for Run #195: S1 = 601; S2 = 657; S3 = 226
Summary for Run #196: S1 = 573; S2 = 711; S3 = 232
Summary for Run #197: S1 = 602; S2 = 674; S3 = 233
Summary for Run #198: S1 = 601; S2 = 644; S3 = 230
Summary for Run #199: S1 = 586; S2 = 680; S3 = 219
Summary for Run #200: S1 = 621; S2 = 681; S3 = 209
Summary for Run #201: S1 = 617; S2 = 653; S3 = 228
Summary for Run #202: S1 = 617; S2 = 685; S3 = 213
Summary for Run #203: S1 = 643; S2 = 681; S3 = 221
Summary for Run #204: S1 = 588; S2 = 678; S3 = 217
Summary for Run #205: S1 = 600; S2 = 683; S3 = 220
Summary for Run #206: S1 = 627; S2 = 668; S3 = 229
Summary for Run #207: S1 = 605; S2 = 667; S3 = 224
Summary for Run #208: S1 = 606; S2 = 664; S3 = 235
Summary for Run #209: S1 = 585; S2 = 637; S3 = 242
Summary for Run #210: S1 = 637; S2 = 650; S3 = 217
Summary for Run #211: S1 = 622; S2 = 647; S3 = 227
Summary for Run #212: S1 = 623; S2 = 660; S3 = 215
Summary for Run #213: S1 = 575; S2 = 686; S3 = 225
Summary for Run #214: S1 = 612; S2 = 651; S3 = 218
Summary for Run #215: S1 = 617; S2 = 656; S3 = 219
Summary for Run #216: S1 = 594; S2 = 658; S3 = 246
Summary for Run #217: S1 = 588; S2 = 688; S3 = 205
Summary for Run #218: S1 = 616; S2 = 693; S3 = 220
Summary for Run #219: S1 = 628; S2 = 690; S3 = 220
Summary for Run #220: S1 = 613; S2 = 681; S3 = 232
Summary for Run #221: S1 = 621; S2 = 712; S3 = 207
Summary for Run #222: S1 = 609; S2 = 643; S3 = 246
Summary for Run #223: S1 = 634; S2 = 669; S3 = 232
Summary for Run #224: S1 = 583; S2 = 666; S3 = 237
Summary for Run #225: S1 = 583; S2 = 662; S3 = 234
Summary for Run #226: S1 = 657; S2 = 655; S3 = 220
Summary for Run #227: S1 = 647; S2 = 696; S3 = 221
Summary for Run #228: S1 = 567; S2 = 685; S3 = 211
Summary for Run #229: S1 = 634; S2 = 659; S3 = 228
Summary for Run #230: S1 = 616; S2 = 671; S3 = 225
Summary for Run #231: S1 = 616; S2 = 681; S3 = 225
Summary for Run #232: S1 = 619; S2 = 674; S3 = 213
Summary for Run #233: S1 = 611; S2 = 677; S3 = 218
Summary for Run #234: S1 = 612; S2 = 648; S3 = 232
Summary for Run #235: S1 = 632; S2 = 632; S3 = 243
Summary for Run #236: S1 = 601; S2 = 667; S3 = 223
Summary for Run #237: S1 = 600; S2 = 671; S3 = 216
Summary for Run #238: S1 = 605; S2 = 677; S3 = 222
Summary for Run #239: S1 = 565; S2 = 650; S3 = 223
Summary for Run #240: S1 = 637; S2 = 669; S3 = 214
Summary for Run #241: S1 = 606; S2 = 693; S3 = 206
Summary for Run #242: S1 = 598; S2 = 670; S3 = 220
Summary for Run #243: S1 = 613; S2 = 660; S3 = 224
Summary for Run #244: S1 = 644; S2 = 638; S3 = 227
Summary for Run #245: S1 = 586; S2 = 712; S3 = 220
Summary for Run #246: S1 = 629; S2 = 699; S3 = 209
Summary for Run #247: S1 = 609; S2 = 685; S3 = 203
Summary for Run #248: S1 = 575; S2 = 680; S3 = 205
Summary for Run #249: S1 = 605; S2 = 682; S3 = 217
Summary for Run #250: S1 = 626; S2 = 652; S3 = 235
Summary for Run #251: S1 = 591; S2 = 670; S3 = 229
Summary for Run #252: S1 = 629; S2 = 708; S3 = 197
Summary for Run #253: S1 = 628; S2 = 662; S3 = 225
Summary for Run #254: S1 = 581; S2 = 692; S3 = 223
Summary for Run #255: S1 = 574; S2 = 656; S3 = 246
Summary for Run #256: S1 = 624; S2 = 698; S3 = 210
Summary for Run #257: S1 = 651; S2 = 668; S3 = 204
Summary for Run #258: S1 = 661; S2 = 655; S3 = 227
Summary for Run #259: S1 = 625; S2 = 633; S3 = 248
Summary for Run #260: S1 = 614; S2 = 675; S3 = 215
Summary for Run #261: S1 = 614; S2 = 669; S3 = 202
Summary for Run #262: S1 = 631; S2 = 686; S3 = 203
Summary for Run #263: S1 = 587; S2 = 651; S3 = 216
Summary for Run #264: S1 = 655; S2 = 669; S3 = 205
Summary for Run #265: S1 = 607; S2 = 678; S3 = 228
Summary for Run #266: S1 = 601; S2 = 699; S3 = 206
Summary for Run #267: S1 = 642; S2 = 675; S3 = 220
Summary for Run #268: S1 = 589; S2 = 673; S3 = 211
Summary for Run #269: S1 = 595; S2 = 667; S3 = 221
Summary for Run #270: S1 = 605; S2 = 692; S3 = 222
